|id |node_id|interface_id|mac_address      |ip_address|vlan_id|first_seen             |last_seen              |status  |
|67 |1      |            |00:90:0b:86:a3:7f|          |       |2025-09-24 14:09:04.435|2025-09-24 14:09:05.997|INACTIVE|
|68 |1      |            |1c:bf:ce:27:18:13|          |       |2025-09-24 14:09:04.435|2025-09-24 14:09:05.997|INACTIVE|
|69 |1      |            |30:8d:99:bb:3a:31|          |       |2025-09-24 14:09:04.435|2025-09-24 14:09:05.997|INACTIVE|
|70 |1      |            |38:68:dd:8e:d5:a5|          |       |2025-09-24 14:09:04.435|2025-09-24 14:09:05.997|INACTIVE|
|71 |1      |            |40:a5:ef:e2:2e:51|          |       |2025-09-24 14:09:04.435|2025-09-24 14:09:05.997|INACTIVE|
|72 |1      |            |50:b7:c3:69:44:09|          |       |2025-09-24 14:09:04.435|2025-09-24 14:09:05.997|INACTIVE|
|73 |1      |            |5c:6f:69:2d:ff:4a|          |       |2025-09-24 14:09:04.435|2025-09-24 14:09:05.997|INACTIVE|
|74 |1      |            |5c:6f:69:2d:ff:4b|          |       |2025-09-24 14:09:04.435|2025-09-24 14:09:05.997|INACTIVE|
|75 |1      |            |68:05:ca:f3:b2:b0|          |       |2025-09-24 14:09:04.435|2025-09-24 14:09:05.997|INACTIVE|
|76 |1      |            |a8:f9:4b:ab:06:a0|          |       |2025-09-24 14:09:04.435|2025-09-24 14:09:05.997|INACTIVE|
|77 |1      |            |ca:5e:0e:8a:fd:33|          |       |2025-09-24 14:09:04.435|2025-09-24 14:09:05.997|INACTIVE|
|78 |1      |            |e0:d9:e3:13:6b:40|          |       |2025-09-24 14:09:04.435|2025-09-24 14:09:05.997|INACTIVE|
|21 |1      |            |00:08:7c:86:03:98|          |       |2025-09-24 14:07:05.454|2025-09-24 14:07:06.458|INACTIVE|
|22 |1      |            |00:1f:ce:cd:95:50|          |       |2025-09-24 14:07:05.454|2025-09-24 14:07:06.458|INACTIVE|
|23 |1      |            |00:1f:ce:cd:95:52|          |       |2025-09-24 14:07:05.454|2025-09-24 14:07:06.458|INACTIVE|
|24 |1      |            |00:1f:ce:cd:95:53|          |       |2025-09-24 14:07:05.454|2025-09-24 14:07:06.458|INACTIVE|
|25 |1      |            |00:1f:ce:cd:95:54|          |       |2025-09-24 14:07:05.454|2025-09-24 14:07:06.458|INACTIVE|
|26 |1      |            |00:1f:ce:cd:95:55|          |       |2025-09-24 14:07:05.454|2025-09-24 14:07:06.458|INACTIVE|
|27 |1      |            |00:90:0b:86:a3:7f|          |       |2025-09-24 14:07:05.454|2025-09-24 14:07:06.458|INACTIVE|
|28 |1      |            |1c:bf:ce:27:18:13|          |       |2025-09-24 14:07:05.454|2025-09-24 14:07:06.458|INACTIVE|
|29 |1      |            |30:8d:99:bb:3a:31|          |       |2025-09-24 14:07:05.454|2025-09-24 14:07:06.458|INACTIVE|
|30 |1      |            |38:68:dd:8e:d5:a5|          |       |2025-09-24 14:07:05.454|2025-09-24 14:07:06.458|INACTIVE|
|31 |1      |            |40:a5:ef:e2:2e:51|          |       |2025-09-24 14:07:05.454|2025-09-24 14:07:06.458|INACTIVE|
|32 |1      |            |50:b7:c3:69:44:09|          |       |2025-09-24 14:07:05.454|2025-09-24 14:07:06.458|INACTIVE|
|33 |1      |            |5c:6f:69:2d:ff:4a|          |       |2025-09-24 14:07:05.454|2025-09-24 14:07:06.458|INACTIVE|
|34 |1      |            |5c:6f:69:2d:ff:4b|          |       |2025-09-24 14:07:05.454|2025-09-24 14:07:06.458|INACTIVE|
|35 |1      |            |68:05:ca:f3:b2:b0|          |       |2025-09-24 14:07:05.454|2025-09-24 14:07:06.458|INACTIVE|
|36 |1      |            |a8:f9:4b:ab:06:a0|          |       |2025-09-24 14:07:05.454|2025-09-24 14:07:06.458|INACTIVE|
|37 |1      |            |ca:5e:0e:8a:fd:33|          |       |2025-09-24 14:07:05.454|2025-09-24 14:07:06.458|INACTIVE|
|38 |1      |            |e0:d9:e3:13:6b:40|          |       |2025-09-24 14:07:05.454|2025-09-24 14:07:06.458|INACTIVE|
|39 |1      |            |f8:f0:82:10:55:d2|          |       |2025-09-24 14:07:05.454|2025-09-24 14:07:06.458|INACTIVE|
|40 |1      |            |f8:f0:82:10:55:d3|          |       |2025-09-24 14:07:05.454|2025-09-24 14:07:06.458|INACTIVE|
|101|1      |            |00:08:7c:86:03:98|          |       |2025-09-24 14:09:07.113|2025-09-24 14:10:08.318|INACTIVE|
|79 |1      |            |f8:f0:82:10:55:d2|          |       |2025-09-24 14:09:04.435|2025-09-24 14:09:05.997|INACTIVE|
|80 |1      |            |f8:f0:82:10:55:d3|          |       |2025-09-24 14:09:04.435|2025-09-24 14:09:05.997|INACTIVE|
|102|1      |            |00:1f:ce:cd:95:50|          |       |2025-09-24 14:09:07.113|2025-09-24 14:10:08.318|INACTIVE|
|103|1      |            |00:1f:ce:cd:95:52|          |       |2025-09-24 14:09:07.113|2025-09-24 14:10:08.318|INACTIVE|
|104|1      |            |00:1f:ce:cd:95:53|          |       |2025-09-24 14:09:07.113|2025-09-24 14:10:08.318|INACTIVE|
